epoch	time	lr	loss	acc	fscore_macro	val_loss	val_acc	val_fscore_macro
1	244.64911389999907	0.001	1.689553812344869	41.21212121828638	0.11235059797763824	1.5392037004849781	47.08097931310506	0.1659088134765625
2	187.61533729999792	0.001	1.399300303892656	50.70707071015329	0.20524482429027557	1.2590674518865381	56.120527321335956	0.2730875015258789
3	198.69271039999148	0.001	1.0555511231855912	62.181818191065936	0.3447834253311157	1.0547558437268163	63.088512241054616	0.3517106771469116
4	197.50514339999063	0.001	0.8578381579572504	69.65656565810694	0.4483179450035095	1.0222304336263635	66.47834274952919	0.4142663776874542
5	180.66801249999844	0.001	0.7083060455683506	75.15151517309323	0.5828461050987244	1.1063778155716575	62.33521658687268	0.3966566026210785
6	178.45505380000395	0.001	0.608094490369161	79.07070709228516	0.6436513066291809	1.0134063968101688	65.72504710971523	0.45043426752090454
7	211.44434309999633	0.001	0.4894164348371101	83.27272726964469	0.7237725257873535	1.0120599519903377	67.60828625235405	0.45042622089385986
8	182.05091350000293	0.001	0.3953026143348578	87.67676769834576	0.812400758266449	1.1283270716667175	65.72504708097928	0.422862708568573
9	199.39518699998735	0.001	0.33516022453404437	89.33333333333333	0.8202623724937439	1.1412809258800443	67.98493411536495	0.47604382038116455
10	180.28943900000013	0.001	0.2676414723528756	91.83838383838383	0.8790582418441772	1.2546103735596448	64.7834274952919	0.4321237802505493
11	156.8660266000079	0.001	0.22301918875087393	93.49494951652758	0.9008835554122925	1.2923088227232074	66.85499058380414	0.43096697330474854
12	142.97505330000422	0.001	0.16054769146322	95.67676769834576	0.9414113163948059	1.3196686090403384	64.97175141242938	0.4565153121948242
13	138.09323690000747	0.001	0.2155743865653722	94.02020202944978	0.9251015186309814	1.3542185040741541	62.523540518378134	0.42091822624206543
14	132.43850829999428	0.001	0.30694250039380006	89.81818182742957	0.8678264617919922	1.4229706806777898	63.465160075329564	0.43631887435913086
15	135.34002319999854	0.001	0.12962574506046795	96.76767678925485	0.9445244669914246	1.5314546372257383	65.91337102685272	0.4773109257221222
16	136.52166139999463	0.001	0.06995238451494111	98.62626262626263	0.9841169714927673	1.557718644034391	65.53672317820978	0.5177983641624451
17	186.10493210000277	0.001	0.04016145517579233	99.47474747474747	0.9930373430252075	1.6572468860001215	65.53672317820978	0.4533538818359375
18	152.06357779999962	0.001	0.025793396297729376	99.83838383838383	0.9989776611328125	1.682575890545342	64.40677966101696	0.426896870136261
19	158.4671684000059	0.001	0.018658451343124563	99.91919191919192	0.9995819926261902	1.7486318350469663	64.97175141242938	0.4507071077823639
20	230.38068249999196	0.001	0.014155537766602003	99.95959595959596	0.9998204708099365	1.796818967256169	65.53672316384181	0.4350219964981079
21	162.89563849999104	0.001	0.010367619952356273	100.0	1.0	1.8352043441759436	65.34839924670433	0.4649862051010132
22	169.1230169000046	0.001	0.008334413183796586	100.0	1.0	1.8760281008740154	65.91337101248473	0.47065815329551697
